text,ade,term_PT
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",pain in leg muscles,myalgia
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",muscle pain,myalgia
"started having a severe sudden onset headache in the back of head, resulted in trip to dr, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine. i only took for 7 days, and it caused this much problems. never again, i would not recommend this to use. i have had 2 trips back to dr, since this happened and a third visit due to the tachycardia is schedule in 3 more days. i will not use anymore.",severe sudden onset headache in the back of head,headache
"started having a severe sudden onset headache in the back of head, resulted in trip to dr, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine. i only took for 7 days, and it caused this much problems. never again, i would not recommend this to use. i have had 2 trips back to dr, since this happened and a third visit due to the tachycardia is schedule in 3 more days. i will not use anymore.",pulse was high,heart rate increased
"started having a severe sudden onset headache in the back of head, resulted in trip to dr, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine. i only took for 7 days, and it caused this much problems. never again, i would not recommend this to use. i have had 2 trips back to dr, since this happened and a third visit due to the tachycardia is schedule in 3 more days. i will not use anymore.",tachycardia,tachycardia
"started having a severe sudden onset headache in the back of head, resulted in trip to dr, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine. i only took for 7 days, and it caused this much problems. never again, i would not recommend this to use. i have had 2 trips back to dr, since this happened and a third visit due to the tachycardia is schedule in 3 more days. i will not use anymore.",bp was extrememly high,hypertension
"started having a severe sudden onset headache in the back of head, resulted in trip to dr, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine. i only took for 7 days, and it caused this much problems. never again, i would not recommend this to use. i have had 2 trips back to dr, since this happened and a third visit due to the tachycardia is schedule in 3 more days. i will not use anymore.",high bp,hypertension
"started having a severe sudden onset headache in the back of head, resulted in trip to dr, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine. i only took for 7 days, and it caused this much problems. never again, i would not recommend this to use. i have had 2 trips back to dr, since this happened and a third visit due to the tachycardia is schedule in 3 more days. i will not use anymore.",pulse is still extremely high,heart rate increased
sterted with swelling in one ankle then a knee thenb the other knee. also lots of soreness in shoulders and some general lowering of energy.,swelling in knee,joint swelling
sterted with swelling in one ankle then a knee thenb the other knee. also lots of soreness in shoulders and some general lowering of energy.,swelling in one ankle,joint swelling
sterted with swelling in one ankle then a knee thenb the other knee. also lots of soreness in shoulders and some general lowering of energy.,lowering of energy,asthenia
sterted with swelling in one ankle then a knee thenb the other knee. also lots of soreness in shoulders and some general lowering of energy.,soreness in shoulders,arthralgia
